time,epoch,step,phase,lossD,lossG,g_gan,g_spec,r1,lrG,lrD,delta_scale,inst_sigma,evasion,val_evasion
1761486151,0,0,train,-0.000518798828125,-0.008655671030282974,-0.0289154052734375,0.020259734243154526,6.052993921912275e-05,0.0001,0.00015,0.029991,0.11975999999999999,0.0,nan
1761486151,0,0,train,-0.000518798828125,-0.008655671030282974,-0.0289154052734375,0.020259734243154526,6.052993921912275e-05,0.0001,0.00015,0.029991,0.11975999999999999,0.0,nan
1761486151,0,0,train,-0.000518798828125,-0.008655671030282974,-0.0289154052734375,0.020259734243154526,6.052993921912275e-05,0.0001,0.00015,0.029991,0.11975999999999999,0.0,nan
1761486151,0,0,train,-0.000518798828125,-0.008655671030282974,-0.0289154052734375,0.020259734243154526,6.052993921912275e-05,0.0001,0.00015,0.029991,0.11975999999999999,0.0,nan
1761486224,0,100,train,0.00048828125,0.0011985574383288622,0.0002772808074951172,0.0009212765726260841,0.00011482219269964844,0.0001,0.00015,0.029104500999904154,0.09803156052948608,0.0,nan
1761486225,0,100,train,0.00048828125,0.0011985574383288622,0.0002772808074951172,0.0009212765726260841,0.00011482219269964844,0.0001,0.00015,0.029104500999904154,0.09803156052948608,0.0,nan
1761486227,0,100,train,0.00048828125,0.0011985574383288622,0.0002772808074951172,0.0009212765726260841,0.00011482219269964844,0.0001,0.00015,0.029104500999904154,0.09803156052948608,0.0,nan
1761486227,0,100,train,0.00048828125,0.0011985574383288622,0.0002772808074951172,0.0009212765726260841,0.00011482219269964844,0.0001,0.00015,0.029104500999904154,0.09803156052948608,0.0,nan
1761486300,0,200,train,-0.0002288818359375,0.02307933196425438,0.0221710205078125,0.0009083106415346265,4.19004718423821e-05,0.0001,0.00015,0.028244205876877117,0.08024538126124167,0.0,nan
1761486301,0,200,train,-0.0002288818359375,0.02307933196425438,0.0221710205078125,0.0009083106415346265,4.19004718423821e-05,0.0001,0.00015,0.028244205876877117,0.08024538126124167,0.0,nan
1761486305,0,200,train,-0.0002288818359375,0.02307933196425438,0.0221710205078125,0.0009083106415346265,4.19004718423821e-05,0.0001,0.00015,0.028244205876877117,0.08024538126124167,0.0,nan
1761486305,0,200,train,-0.0002288818359375,0.02307933196425438,0.0221710205078125,0.0009083106415346265,4.19004718423821e-05,0.0001,0.00015,0.028244205876877117,0.08024538126124167,0.0,nan
1761486377,0,300,train,-7.62939453125e-05,0.02359146624803543,0.0229339599609375,0.0006575054721906781,9.40522295422852e-06,0.0001,0.00015,0.027409340074858082,0.06568620533001922,0.0,nan
1761486379,0,300,train,-7.62939453125e-05,0.02359146624803543,0.0229339599609375,0.0006575054721906781,9.40522295422852e-06,0.0001,0.00015,0.027409340074858082,0.06568620533001922,0.0,nan
1761486383,0,300,train,-7.62939453125e-05,0.02359146624803543,0.0229339599609375,0.0006575054721906781,9.40522295422852e-06,0.0001,0.00015,0.027409340074858082,0.06568620533001922,0.0,nan
1761486383,0,300,train,-7.62939453125e-05,0.02359146624803543,0.0229339599609375,0.0006575054721906781,9.40522295422852e-06,0.0001,0.00015,0.027409340074858082,0.06568620533001922,0.0,nan
1761486462,0,400,train,3.0517578125e-05,0.016598891466856003,0.015899658203125,0.0006992325652390718,1.161892942036502e-05,0.0001,0.00015,0.02659915193276051,0.053768547209101826,0.0,nan
1761486463,0,400,train,3.0517578125e-05,0.016598891466856003,0.015899658203125,0.0006992325652390718,1.161892942036502e-05,0.0001,0.00015,0.02659915193276051,0.053768547209101826,0.0,nan
1761486467,0,400,train,3.0517578125e-05,0.016598891466856003,0.015899658203125,0.0006992325652390718,1.161892942036502e-05,0.0001,0.00015,0.02659915193276051,0.053768547209101826,0.0,nan
1761486467,0,400,train,3.0517578125e-05,0.016598891466856003,0.015899658203125,0.0006992325652390718,1.161892942036502e-05,0.0001,0.00015,0.02659915193276051,0.053768547209101826,0.0,nan
1761486542,0,500,train,-7.62939453125e-05,0.010806405916810036,0.0101776123046875,0.0006287931464612484,8.514664841641206e-06,0.0001,0.00015,0.02581291200772333,0.044013147881693346,0.0,nan
1761486543,0,500,train,-7.62939453125e-05,0.010806405916810036,0.0101776123046875,0.0006287931464612484,8.514664841641206e-06,0.0001,0.00015,0.02581291200772333,0.044013147881693346,0.0,nan
1761486547,0,500,train,-7.62939453125e-05,0.010806405916810036,0.0101776123046875,0.0006287931464612484,8.514664841641206e-06,0.0001,0.00015,0.02581291200772333,0.044013147881693346,0.0,nan
1761486547,0,500,train,-7.62939453125e-05,0.010806405916810036,0.0101776123046875,0.0006287931464612484,8.514664841641206e-06,0.0001,0.00015,0.02581291200772333,0.044013147881693346,0.0,nan
1761486559,0,521,epoch,-0.00024119677333136208,0.0058658713945893715,0.004392556974846662,0.0014733143975098409,0.0001754089681227729,0.0001,0.00015,0.025658475142962944,0.04228567394907884,0.0,nan
1761486559,0,521,epoch,-0.00024119677333136208,0.0058658713945893715,0.004392556974846662,0.0014733143975098409,0.0001754089681227729,0.0001,0.00015,0.025658475142962944,0.04228567394907884,0.0,nan
1761486562,0,521,val_end,nan,0.015154270455241203,0.014481384307146072,3.364431904628873e-05,nan,0.0001,0.00015,0.025658475142962944,0.04228567394907884,nan,0.0
1761486562,0,521,epoch,-0.00024119677333136208,0.0058658713945893715,0.004392556974846662,0.0014733143975098409,0.0001754089681227729,0.0001,0.00015,0.025658475142962944,0.04228567394907884,0.0,nan
1761486562,0,521,epoch,-0.00024119677333136208,0.0058658713945893715,0.004392556974846662,0.0014733143975098409,0.0001754089681227729,0.0001,0.00015,0.025658475142962944,0.04228567394907884,0.0,nan
1761486562,0,521,val_end,nan,0.015154270455241203,0.014481384307146072,3.364431904628873e-05,nan,0.0001,0.00015,0.025658475142962944,0.04228567394907884,nan,0.0
1761486566,0,521,val_end,nan,0.015154270455241203,0.014481384307146072,3.364431904628873e-05,nan,0.0001,0.00015,0.025658475142962944,0.04228567394907884,nan,0.0
1761486566,0,521,val_end,nan,0.015154270455241203,0.014481384307146072,3.364431904628873e-05,nan,0.0001,0.00015,0.025658475142962944,0.04228567394907884,nan,0.0
1761486625,1,600,train,3.0517578125e-05,0.018099844455718994,0.01751708984375,0.0005827555432915688,2.7760058856074465e-06,0.0001,0.00015,0.025049912418366207,0.036027701825796954,0.0,nan
1761486626,1,600,train,3.0517578125e-05,0.018099844455718994,0.01751708984375,0.0005827555432915688,2.7760058856074465e-06,0.0001,0.00015,0.025049912418366207,0.036027701825796954,0.0,nan
1761486633,1,600,train,3.0517578125e-05,0.018099844455718994,0.01751708984375,0.0005827555432915688,2.7760058856074465e-06,0.0001,0.00015,0.025049912418366207,0.036027701825796954,0.0,nan
1761486633,1,600,train,3.0517578125e-05,0.018099844455718994,0.01751708984375,0.0005827555432915688,2.7760058856074465e-06,0.0001,0.00015,0.025049912418366207,0.036027701825796954,0.0,nan
1761486705,1,700,train,0.0,0.01637042686343193,0.015869140625,0.0005012862384319305,2.776238034130074e-06,0.0001,0.00015,0.02430946620745726,0.029491080763810035,0.0,nan
1761486706,1,700,train,0.0,0.01637042686343193,0.015869140625,0.0005012862384319305,2.776238034130074e-06,0.0001,0.00015,0.02430946620745726,0.029491080763810035,0.0,nan
1761486713,1,700,train,0.0,0.01637042686343193,0.015869140625,0.0005012862384319305,2.776238034130074e-06,0.0001,0.00015,0.02430946620745726,0.029491080763810035,0.0,nan
1761486714,1,700,train,0.0,0.01637042686343193,0.015869140625,0.0005012862384319305,2.776238034130074e-06,0.0001,0.00015,0.02430946620745726,0.029491080763810035,0.0,nan
1761486784,1,800,train,-7.62939453125e-06,0.01377587579190731,0.01323699951171875,0.0005388758727349341,1.8651385289558675e-06,0.0001,0.00015,0.023590906723419566,0.024140419747640335,0.0,nan
1761486785,1,800,train,-7.62939453125e-06,0.01377587579190731,0.01323699951171875,0.0005388758727349341,1.8651385289558675e-06,0.0001,0.00015,0.023590906723419566,0.024140419747640335,0.0,nan
1761486791,1,800,train,-7.62939453125e-06,0.01377587579190731,0.01323699951171875,0.0005388758727349341,1.8651385289558675e-06,0.0001,0.00015,0.023590906723419566,0.024140419747640335,0.0,nan
1761486792,1,800,train,-7.62939453125e-06,0.01377587579190731,0.01323699951171875,0.0005388758727349341,1.8651385289558675e-06,0.0001,0.00015,0.023590906723419566,0.024140419747640335,0.0,nan
1761486862,1,900,train,-1.52587890625e-05,0.013220003806054592,0.01267242431640625,0.0005475793732330203,1.2688714150499436e-06,0.0001,0.00015,0.022893587020119732,0.02,0.0,nan
1761486863,1,900,train,-1.52587890625e-05,0.013220003806054592,0.01267242431640625,0.0005475793732330203,1.2688714150499436e-06,0.0001,0.00015,0.022893587020119732,0.02,0.0,nan
1761486870,1,900,train,-1.52587890625e-05,0.013220003806054592,0.01267242431640625,0.0005475793732330203,1.2688714150499436e-06,0.0001,0.00015,0.022893587020119732,0.02,0.0,nan
1761486871,1,900,train,-1.52587890625e-05,0.013220003806054592,0.01267242431640625,0.0005475793732330203,1.2688714150499436e-06,0.0001,0.00015,0.022893587020119732,0.02,0.0,nan
1761486945,1,1000,train,0.0,0.008552043698728085,0.00811004638671875,0.0004419973702169955,1.1985134733549785e-06,0.0001,0.00015,0.022216879274397913,0.02,0.0,nan
1761486945,1,1000,train,0.0,0.008552043698728085,0.00811004638671875,0.0004419973702169955,1.1985134733549785e-06,0.0001,0.00015,0.022216879274397913,0.02,0.0,nan
1761486953,1,1000,train,0.0,0.008552043698728085,0.00811004638671875,0.0004419973702169955,1.1985134733549785e-06,0.0001,0.00015,0.022216879274397913,0.02,0.0,nan
1761486954,1,1000,train,0.0,0.008552043698728085,0.00811004638671875,0.0004419973702169955,1.1985134733549785e-06,0.0001,0.00015,0.022216879274397913,0.02,0.0,nan
1761486976,1,1042,epoch,3.4412816023872363e-07,0.014014235097064053,0.013501743895078576,0.000512491172211309,2.0948643493944046e-06,0.0001,0.00015,0.021945244888734936,0.02,0.0,nan
1761486976,1,1042,epoch,3.4412816023872363e-07,0.014014235097064053,0.013501743895078576,0.000512491172211309,2.0948643493944046e-06,0.0001,0.00015,0.021945244888734936,0.02,0.0,nan
1761486980,1,1042,val_end,nan,0.010598134249448776,0.010124308988451958,2.369124376855325e-05,nan,0.0001,0.00015,0.021945244888734936,0.02,nan,0.0
1761486980,1,1042,val_end,nan,0.010598134249448776,0.010124308988451958,2.369124376855325e-05,nan,0.0001,0.00015,0.021945244888734936,0.02,nan,0.0
1761486982,1,1042,epoch,3.4412816023872363e-07,0.014014235097064053,0.013501743895078576,0.000512491172211309,2.0948643493944046e-06,0.0001,0.00015,0.021945244888734936,0.02,0.0,nan
