step,epoch,lossD,lossG,loss_gan,loss_spec,loss_fm,loss_evasion,inst_noise,delta,lambda_evasion,p_bona_mean
1400,1,-0.09284591674804688,-77.98430633544922,-84.8224105834961,6.725554466247559,0.1125498116016388,0.0,0.017385304285835824,0.017385304285835824,0.0,0.4987281560897827
1500,1,-0.17047500610351562,-85.56392669677734,-91.06538391113281,5.395602703094482,0.10586026310920715,0.0,0.017212309011140025,0.017212309011140025,0.0,0.4995949864387512
1600,1,0.03658154606819153,-75.53150177001953,-82.6319808959961,7.002490043640137,0.09799480438232422,0.0,0.017041035153830725,0.017041035153830725,0.0,0.5030319690704346
1700,1,-0.19759178161621094,-73.74801635742188,-81.207275390625,7.338949203491211,0.12031149864196777,0.0,0.016871465584666536,0.016871465584666536,0.0,0.49902841448783875
1800,1,-0.131011962890625,-86.61083221435547,-92.0304946899414,5.310994625091553,0.10866500437259674,0.0,0.01670358334485334,0.01670358334485334,0.0,0.499813050031662
1900,1,-0.09199142456054688,-91.03097534179688,-96.67523193359375,5.562379360198975,0.08187954127788544,0.0,0.01653737164434826,0.01653737164434826,0.0,0.5016298294067383
2000,1,0.08550363779067993,-81.65055084228516,-87.3323974609375,5.565383434295654,0.11646144092082977,0.0,0.01637281386018043,0.01637281386018043,0.0,0.5026666522026062
2100,1,-0.2576026916503906,-91.50829315185547,-97.59007263183594,5.971574306488037,0.1102081686258316,0.0,0.01620989353478857,0.01620989353478857,0.0,0.500381350517273
2200,1,-0.015316009521484375,-90.6500015258789,-96.33599853515625,5.595721244812012,0.09028232097625732,0.0,0.016048594374374982,0.016048594374374982,0.0,0.4994623363018036
2300,1,-0.14764976501464844,-93.95437622070312,-100.09881591796875,6.026332855224609,0.11809995770454407,0.0,0.015888900247276024,0.015888900247276024,0.0,0.5012454390525818
2400,1,0.15028157830238342,-94.0525131225586,-99.83953857421875,5.68021297454834,0.10681334137916565,0.0,0.015730795182348805,0.015730795182348805,0.0,0.5006182789802551
2500,1,-0.04467582702636719,-95.95053100585938,-100.49005126953125,4.454098701477051,0.08541544526815414,0.0,0.01557426336737385,0.01557426336737385,0.0,0.5001363754272461
2600,1,-0.10556983947753906,-94.76335906982422,-100.61880493164062,5.7481303215026855,0.10731615126132965,0.0,0.015419289147473743,0.015419289147473743,0.0,0.49613240361213684
2700,1,-0.10886001586914062,-109.01250457763672,-114.91523742675781,5.785433769226074,0.11730211228132248,0.0,0.015265857023547425,0.015265857023547425,0.0,0.511432945728302
2800,1,0.0689423680305481,-98.23304748535156,-104.2203369140625,5.873268127441406,0.1140236184000969,0.0,0.015113951650720162,0.015113951650720162,0.0,0.49979615211486816
2900,1,-0.11581611633300781,-92.12535095214844,-99.0311279296875,6.800048828125,0.10572557151317596,0.0,0.014963557836808868,0.014963557836808868,0.0,0.5005350708961487
3000,1,-0.10939407348632812,-104.46514129638672,-110.30282592773438,5.735302925109863,0.10237591713666916,0.0,0.014814660540802714,0.014814660540802714,0.0,0.5008452534675598
3100,1,-0.3289966583251953,-100.72108459472656,-107.05349731445312,6.219184398651123,0.11322947591543198,0.0,0.014667244871358894,0.014667244871358894,0.0,0.49825501441955566
3200,2,0.09818685054779053,-95.93109893798828,-102.37960052490234,6.326604843139648,0.12189864367246628,0.0,0.014521296085313296,0.014521296085313296,0.0,0.5002654790878296
3300,2,-0.09998130798339844,-109.8805160522461,-116.56285858154297,6.551567077636719,0.13077467679977417,0.0,0.01437679958620604,0.01437679958620604,0.0,0.500873863697052
3400,2,-0.079742431640625,-109.50337982177734,-115.33070373535156,5.71976900100708,0.1075524315237999,0.0,0.014233740922821677,0.014233740922821677,0.0,0.4990738034248352
3500,2,-0.1388568878173828,-117.7863540649414,-123.53936767578125,5.648890495300293,0.10412823408842087,0.0,0.014092105787743921,0.014092105787743921,0.0,0.4984228312969208
3600,2,-0.022442758083343506,-119.7122573852539,-125.16497802734375,5.3480424880981445,0.10467275977134705,0.0,0.013951880015924713,0.013951880015924713,0.0,0.5029926300048828
3700,2,-0.14074134826660156,-106.79503631591797,-114.23667907714844,7.3129377365112305,0.12871134281158447,0.0,0.013813049583267623,0.013813049583267623,0.0,0.47245705127716064
3800,2,-0.1053619384765625,-106.94629669189453,-112.71635437011719,5.648093223571777,0.12196352332830429,0.0,0.013675600605225236,0.013675600605225236,0.0,0.5414766669273376
3900,2,-0.1631031036376953,-116.5233383178711,-121.9991683959961,5.362709999084473,0.11312174052000046,0.0,0.013539519335410567,0.013539519335410567,0.0,0.5169773101806641
4000,2,0.06742793321609497,-103.32074737548828,-109.80884552001953,6.375763893127441,0.1123322993516922,0.0,0.013404792164222272,0.013404792164222272,0.0,0.5002828240394592
4100,2,-0.2960472106933594,-97.38036346435547,-104.02497863769531,6.519792079925537,0.12482544034719467,0.0,0.013271405617483543,0.013271405617483543,0.0,0.49643945693969727
4200,2,-0.19929885864257812,-129.56234741210938,-135.0478515625,5.367225646972656,0.1182813048362732,0.0,0.01313934635509454,0.01313934635509454,0.0,0.4986339211463928
4300,2,-0.25377655029296875,-113.7353515625,-120.48063659667969,6.608542442321777,0.1367410272359848,0.0,0.013008601169698241,0.013008601169698241,0.0,0.5001461505889893
4400,2,0.11174055933952332,-116.03854370117188,-122.71890258789062,6.555761337280273,0.12459741532802582,0.0,0.01287915698535956,0.01287915698535956,0.0,0.501258373260498
4500,2,-0.1868438720703125,-129.4315948486328,-136.08633422851562,6.518767833709717,0.13597552478313446,0.0,0.012751000856257591,0.012751000856257591,0.0,0.49779316782951355
4600,2,-0.19303512573242188,-125.53836059570312,-132.45730590820312,6.784621238708496,0.13432304561138153,0.0,0.01262411996539095,0.01262411996539095,0.0,0.49779853224754333
4700,2,-0.21269989013671875,-125.91870880126953,-132.28131103515625,6.257488250732422,0.1051110029220581,0.0,0.012498501623295848,0.012498501623295848,0.0,0.5074739456176758
4800,2,0.11414361000061035,-115.30133056640625,-121.47935485839844,6.039052963256836,0.138970285654068,0.0,0.012374133266777096,0.012374133266777096,0.0,0.5091249942779541
4900,2,-0.06649017333984375,-127.9385986328125,-133.98953247070312,5.93190860748291,0.11901742219924927,0.0,0.012251002457651565,0.012251002457651565,0.0,0.5035216212272644
5000,2,-0.063201904296875,-147.20150756835938,-153.4754180908203,6.155138969421387,0.11878040432929993,0.0,0.012129096881504306,0.012129096881504306,0.0,0.49748754501342773
5100,2,-0.246978759765625,-144.08872985839844,-149.6556854248047,5.443241119384766,0.11909683048725128,0.004619593266397715,0.012008404346456917,0.012008404346456917,0.006666666666666667,0.49998149275779724
5200,2,0.1593123972415924,-141.12586975097656,-147.09030151367188,5.8197221755981445,0.13554780185222626,0.00916395615786314,0.011888912781948265,0.011888912781948265,0.013333333333333334,0.503026008605957
5300,2,-0.22303390502929688,-138.2933349609375,-144.68069458007812,6.240958213806152,0.13252119719982147,0.013887991197407246,0.011770610237527278,0.011770610237527278,0.02,0.5000287294387817
5400,2,-0.11651229858398438,-125.62762451171875,-131.37060546875,5.606379985809326,0.11811372637748718,0.01849156990647316,0.01165348488165778,0.01165348488165778,0.02666666666666667,0.5005290508270264
5500,2,-0.20746612548828125,-158.3245086669922,-163.86448669433594,5.393787860870361,0.12319962680339813,0.022997910156846046,0.011537525000535188,0.011537525000535188,0.03333333333333333,0.5018346309661865
5600,2,-0.007778644561767578,-134.07083129882812,-140.27850341796875,6.072542190551758,0.10736653208732605,0.027768965810537338,0.011422718996915033,0.011422718996915033,0.04,0.5007882118225098
5700,2,-0.073577880859375,-135.9914093017578,-141.54306030273438,5.41583776473999,0.10336946696043015,0.032449301332235336,0.011309055388953106,0.011309055388953106,0.04666666666666667,0.4992048740386963
5800,2,-0.16963577270507812,-153.0023193359375,-159.5341796875,6.360739707946777,0.1342097967863083,0.03691304847598076,0.01119652280905712,0.01119652280905712,0.05333333333333334,0.5009453296661377
5900,2,-0.08576583862304688,-158.90992736816406,-164.36044311523438,5.296919822692871,0.112066350877285,0.04153871163725853,0.011085110002749858,0.011085110002749858,0.06,0.49842262268066406
6000,2,0.050183892250061035,-145.59718322753906,-150.47067260742188,4.7268805503845215,0.10039269179105759,0.04622393473982811,0.010974805827543614,0.010974805827543614,0.06666666666666667,0.5003798007965088
6100,2,-0.15623855590820312,-150.90274047851562,-156.08734130859375,5.017979145050049,0.11582697927951813,0.05080153048038483,0.010865599251825772,0.010865599251825772,0.07333333333333333,0.5001363754272461
6200,2,-0.3048553466796875,-131.7437744140625,-137.78695678710938,5.875142574310303,0.11257083714008331,0.05548197031021118,0.010757479353755569,0.010757479353755569,0.08,0.49961593747138977
6300,3,-0.1596221923828125,-153.3194122314453,-160.3330078125,6.819283962249756,0.1341809332370758,0.06011614203453064,0.010650435320171786,0.010650435320171786,0.08666666666666667,0.4998739957809448
6400,3,0.08755111694335938,-142.505126953125,-148.24661254882812,5.555249214172363,0.1218365877866745,0.06439442187547684,0.01054445644551131,0.01054445644551131,0.09333333333333334,0.5014530420303345
6500,3,-0.06156158447265625,-168.04835510253906,-172.10443115234375,3.903707981109619,0.0835508331656456,0.06881656497716904,0.010439532130738446,0.010439532130738446,0.1,0.5007713437080383
6600,3,0.003421783447265625,-160.72035217285156,-167.40789794921875,6.482562065124512,0.13137134909629822,0.07361476868391037,0.010335651882284929,0.010335651882284929,0.10666666666666667,0.5006088018417358
